specfile,id,OBJECT,cgm_name,gal_ra,gal_dec,z,OII_flux,OII_flux_sig,OII_LQ,Hbeta_flux,Hbeta_flux_sig,Hbeta_LQ,OIII_flux,OIII_flux_sig,OIII_LQ,Halpha_flux,Halpha_flux_sig,Halpha_LQ,NII_flux,NII_flux_sig,NII_LQ,SIIa_flux,SIIa_flux_sig,SIIa_LQ,SIIb_flux,SIIb_flux_sig,SIIb_LQ,Comment
J022601.51+001532.5.fits,J022601.51+001532.5._03,J0226+0015,J0226+0015_271_194,36.50630188,0.259039998,0.3527153,-99,-99,-99,2.13E-17,2.44E-18,1,2.25E-17,1.76E-18,1,3.12E-17,2.47E-18,1,1.12E-17,2.57E-18,1,1.29E-17,7.99E-19,1,1.76E-18,1.14E-18,1,
J022602.41+001536.6.fits,J022602.41+001536.6._01,J0226+0015,J0226+0015_272_181,36.51005936,0.260170013,0.2978321,-99,-99,-99,-99,-99,-99,2.19E-17,1.87E-18,1,2.08E-17,8.41E-19,1,-99,-99,-99,-99,-99,2,-99,-99,2,
J022606.98+001451.4.fits,J022606.98+001451.4._02,J0226+0015,J0226+0015_251_119,36.52907944,0.247620001,0.3846623,4.20E-17,5.28E-18,1,5.21E-17,2.23E-18,1,-99,-99,-99,1.61E-16,1.31E-18,1,5.91E-17,9.82E-19,1,-99,-99,-99,-99,-99,-99,
J022607.08+001612.7.fits,J022607.08+001612.7._01,J0226+0015,J0226+0015_291_119,36.52951813,0.270200014,0.2995563,-99,-99,-99,1.38E-17,1.51E-18,0,1.56E-17,1.73E-18,1,2.32E-17,8.62E-19,1,3.97E-18,7.05E-19,1,6.71E-18,7.03E-19,1,4.40E-18,7.56E-19,1,
J022608.02+001427.2.fits,J022608.02+001427.2._03,J0226+0015,J0226+0015_237_115,36.53340149,0.240879998,0.5065837,4.10E-17,3.29E-18,1,2.52E-17,1.53E-18,1,2.88E-17,1.41E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022609.11+001513.1.fits,J022609.11+001513.1._01,J0226+0015,J0226+0015_258_82,36.5379715,0.25365001,0.4965645,-99,-99,0,2.70E-17,3.43E-18,1,3.93E-17,2.18E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022610.26+001603.7.fits,J022610.26+001603.7._01,J0226+0015,J0226+0015_298_72,36.54273987,0.267699987,0.334506,-99,-99,-99,1.59E-17,1.08E-18,1,3.83E-17,1.38E-18,1,5.25E-17,1.33E-18,1,-9.90E+01,-99,-99,7.23E-18,1.33E-18,1,5.74E-18,3.48E-19,1,
J022610.44+001514.0.fits,J022610.44+001514.0._03,J0226+0015,J0226+0015_255_62,36.54347992,0.253899992,0.5070571,5.97E-17,3.55E-18,1,2.77E-17,2.07E-18,1,7.15E-17,1.70E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022611.06+001323.6.fits,J022611.06+001323.6._02,J0226+0015,J0226+0015_202_136,36.54608917,0.223230004,0.47494,-99,-99,-99,8.13E-17,2.84E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Wrong redshift? Hbeta?
J022611.40+001341.3.fits,J022611.40+001341.3._01,J0226+0015,J0226+0015_203_118,36.54748917,0.228129998,0.3651937,1.56E-17,3.34E-18,1,1.57E-17,1.47E-18,1,1.65E-17,1.38E-18,1,1.77E-17,2.65E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,
